id,hz,py,hv,level,formula,meaning,words
r-ri,日,rì,nhật,HSK1,日+___,thời gian / ngày tháng,日期
r-ri,日,rì,nhật,HSK1,___+日,ngày trong tuần,星期日
r-shang,上,shàng,thượng,HSK1,上+___,vị trí phía trên,上边
r-shang,上,shàng,thượng,HSK1,上+___,thời gian / thứ tự trước,"上午, 上次"
r-shang,上,shàng,thượng,HSK1,上+___,hành động bắt đầu / đi đến,"上学, 上班, 上课, 上车"
r-shang,上,shàng,thượng,HSK1,___+上,vị trí cụ thể phía trên,"楼上, 身上, 车上, 地上"
r-shang,上,shàng,thượng,HSK1,___+上,bổ ngữ kết quả (đóng lại),关上
r-shang,上,shàng,thượng,HSK1,___+上,thời điểm trong ngày,"早上, 晚上"
r-sheng,生,shēng,sinh,HSK1,___+生,nghề nghiệp,"中学生, 先生, 医生, 大学生, 学生, 小学生"
r-shi,时,shí,thời,HSK1,时+___,"thời gian, thời điểm","时间, 时候"
r-shi,时,shí,thời,HSK1,___+时,đơn vị thời gian,小时
r-shu,书,shū,thư,HSK1,书+___,địa điểm liên quan sách,书店
r-shu,书,shū,thư,HSK1,___+书,hoạt động liên quan tới sách,读书
r-tian,天,tiān,thiên,HSK1,___+天,ngày / thời gian,"今天, 明天, 星期天, 昨天"
r-ting,听,tīng,thính,HSK1,听+___,hành động / kết quả nghe,"听写, 听到, 听见"
r-wai,外,wài,ngoại,HSK1,外+___,vị trí bên ngoài,外边
r-wai,外,wài,ngoại,HSK1,___+外,phạm vi bên ngoài khu vực nào đó,国外
r-wan,玩,wán,ngoạn,HSK1,玩+___,chơi,玩儿
r-wan,玩,wán,ngoạn,HSK1,___+玩,"cảm nhận, đánh giá về hoạt động vui chơi",好玩儿
r-wan2,晚,wǎn,vãn,HSK1,晚+___,liên quan tới khoảng thời gian buổi tối,"晚上, 晚饭"
r-wen,文,wén,văn,HSK1,___+文,ngôn ngữ / văn bản,"中文, 课文"
r-wu,午,wǔ,ngọ,HSK1,___+午,thời gian trong ngày,"上午, 下午, 中午"
r-xia2,下,xià,hạ,HSK1,下+___,vị trí phía dưới,下边
r-xia2,下,xià,hạ,HSK1,下+___,thứ tự sau / kế tiếp,下次
r-xia2,下,xià,hạ,HSK1,下+___,kết thúc / rời khỏi,"下班, 下课, 下车"
r-xia2,下,xià,hạ,HSK1,下+___,hiện tượng tự nhiên,下雨
r-xia2,下,xià,hạ,HSK1,___+下,bổ ngữ xu hướng,"楼下, 坐下"
r-xiao,小,xiǎo,tiểu,HSK1,小+___,cấp học / người thuộc cấp học,"小学, 小学生"
r-xiao,小,xiǎo,tiểu,HSK1,小+___,đối tượng trẻ / nhỏ tuổi,"小姐, 小朋友"
r-xie,些,xiē,tả,HSK1,___+些,hậu tố số nhiều / số lượng,"一些, 哪些, 有些, 这些, 那些"
r-xingqi,星期,xīng qī,tinh kỳ,HSK1,星期+___,ngày trong tuần,"星期天, 星期日"
r-xue,学,xué,học,HSK1,学+___,hoạt động / nơi học tập,"学习, 学校, 学生, 学院"
r-xue,学,xué,học,HSK1,___+学,cấp bậc / loại hình học,"上学, 中学, 同学, 大学, 小学"
r-yi,一,yī,nhất,HSK1,一+___,số lượng / mức độ nhỏ,"一下儿, 一些, 一半, 一点儿"
r-yi2,医,yī,y,HSK1,医+___,liên quan đến y tế,"医生, 医院"
r-you,有,yǒu,hữu,HSK1,有+___,thể hiện số lượng (không xác định),"有些, 有时候, 有点儿, 有的"
r-yuan,员,yuán,viên,HSK1,___+员,nhân viên,"服务员, 售货员"
r-yuan2,院,yuàn,viện,HSK1,___+院,cơ sở / địa điểm công cộng,"医院, 学院, 电影院"
r-zai,在,zài,tại,HSK1,___+在,thời điểm hiện tại,"正在, 现在"
r-zao,早,zǎo,tảo,HSK1,早+___,liên quan tới khoảng thời gian buổi sáng,"早上, 早饭"
r-zhe,这,zhè,già,HSK1,这+___,chỉ vị trí gần (này / đây),"这个, 这些, 这儿, 这边, 这里"
r-zhi,知,zhī,tri,HSK1,知+___,"liên quan đến kiến thức, nhận biết","知识, 知道"
r-zhong,中,zhōng,trung,HSK1,中+___,thời gian giữa,中午
r-zhong,中,zhōng,trung,HSK1,中+___,cấp học trung học,"中学, 中学生"
r-zi,子,zi,tử,HSK1,___+子,hậu tố danh từ,"儿子, 包子, 孩子, 杯子, 桌子, 椅子"
r-zi2,字,zì,tự,HSK1,___+字,chữ viết / tên gọi,"名字, 汉字"
r-zuo,作,zuò,tác,HSK1,___+作,tham gia vào một hoạt động nào đó,"动作, 工作"
